행정구역,연도,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
제주특별자치도,2021,676759 ,307529 ,2.2,339177 ,337582 ,1
서울특별시,2022,9428372 ,4446296 ,2.12,4570048 ,4858324 ,0.94
부산광역시,2022,3317812 ,1555867 ,2.13,1619915 ,1697897 ,0.95
대구광역시,2022,2363691 ,1070873 ,2.21,1162865 ,1200826 ,0.97
인천광역시,2022,2967314 ,1322632 ,2.24,1485175 ,1482139 ,1
광주광역시,2022,1431050 ,652355 ,2.19,707299 ,723751 ,0.98
대전광역시,2022,1446072 ,673429 ,2.15,721245 ,724827 ,1
울산광역시,2022,1110663 ,486143 ,2.28,570368 ,540295 ,1.06
세종특별자치시,2022,383591 ,159386 ,2.41,191389 ,192202 ,1
경기도,2022,13589432 ,5913694 ,2.3,6839276 ,6750156 ,1.01
강원도,2022,1536498 ,755481 ,2.03,772947 ,763551 ,1.01
충청북도,2022,1595058 ,771848 ,2.07,810782 ,784276 ,1.03
충청남도,2022,2123037 ,1019093 ,2.08,1086632 ,1036405 ,1.05
전라북도,2022,1769607 ,855849 ,2.07,880592 ,889015 ,0.99
전라남도,2022,1817697 ,907710 ,2,915272 ,902425 ,1.01
경상북도,2022,2600492 ,1286873 ,2.02,1311881 ,1288611 ,1.02
경상남도,2022,3280493 ,1516930 ,2.16,1651675 ,1628818 ,1.01
제주특별자치도,2022,678159 ,311355 ,2.18,339590 ,338569 ,1
